Hypothesis Test: Analyze the Effect of Garage Features on SalePrice by Property Type
Description: Determine if the impact of garage-related features on SalePrice varies by property type.

Interaction Data:
BldgType  GarageArea  GarageCars     SalePrice
  TwnhsE         533           2 193000.000000
  TwnhsE         538           2 235000.000000
  TwnhsE         540           2 146000.000000
  TwnhsE         556           2 277500.000000
  TwnhsE         564           2 266000.000000
  TwnhsE         565           2 187500.000000
  TwnhsE         569           2 199900.000000
  TwnhsE         576           2 235650.000000
  TwnhsE         577           2 207500.000000
  TwnhsE         582           2 213500.000000
  TwnhsE         588           2 274000.000000
  TwnhsE         608           2 236500.000000
  TwnhsE         625           2 171900.000000
  TwnhsE         648           3 218530.500000
  TwnhsE         660           3 174950.000000
  TwnhsE         682           2 286000.000000
