Hypothesis Test: Interaction Between Neighborhood and YearBuilt on SalePrice
Description: Investigating whether the relationship between YearBuilt and SalePrice varies significantly across different neighborhoods.

Interaction Data:
      IDOTRR       1906 135000.000000
      IDOTRR       1914 127000.000000
      IDOTRR       1915  85000.000000
      IDOTRR       1916 109900.000000
      IDOTRR       1919 115000.000000
      IDOTRR       1920  82280.000000
      IDOTRR       1922  90250.000000
      IDOTRR       1925 103000.000000
      IDOTRR       1930 104966.666667
      IDOTRR       1931 169500.000000
      IDOTRR       1935  84500.000000
      IDOTRR       1936 106500.000000
      IDOTRR       1937 130250.000000
      IDOTRR       1939 100000.000000
      IDOTRR       1940 120500.000000
      IDOTRR       1941  87000.000000
      IDOTRR       1950 152000.000000
      IDOTRR       1963 110000.000000
     MeadowV       1970  87750.000000
     MeadowV       1972  81000.000000
     MeadowV       1973 108633.333333
     MeadowV       1976 134000.000000
     MeadowV       1977 127000.000000
     Mitchel       1940 160000.000000
     Mitchel       1960 115000.000000
     Mitchel       1961 168000.000000
     Mitchel       1962 157900.000000
     Mitchel       1963 132250.000000
     Mitchel       1967 143000.000000
     Mitchel       1969 172000.000000
     Mitchel       1970 129500.000000
     Mitchel       1971 139000.000000
     Mitchel       1974 170000.000000
     Mitchel       1976 163900.000000
     Mitchel       1977 155500.000000
     Mitchel       1978 160750.000000
     Mitchel       1982 132666.666667
     Mitchel       1983 132500.000000
     Mitchel       1984 131000.000000
     Mitchel       1985 112000.000000
     Mitchel       1988 171000.000000
     Mitchel       1990 173000.000000
     Mitchel       1993 143000.000000
     Mitchel       1997 206300.000000
     Mitchel       1998 163000.000000
     Mitchel       1999 165000.000000
     Mitchel       2001 215000.000000
     Mitchel       2003 220343.000000
     Mitchel       2004 240000.000000
     Mitchel       2006  84500.000000
     Mitchel       2007 147000.000000
       NAmes       1918 235000.000000
       NAmes       1920 104900.000000
       NAmes       1941 119000.000000
       NAmes       1942 146500.000000
       NAmes       1948 121425.000000
       NAmes       1949 120914.285714
       NAmes       1950 121172.500000
       NAmes       1951 144150.000000
       NAmes       1952 166000.000000
       NAmes       1953 129083.333333
       NAmes       1954 132225.000000
       NAmes       1955 145875.000000
       NAmes       1956 134300.000000
       NAmes       1957 153356.250000
       NAmes       1958 140253.333333
       NAmes       1959 141782.142857
       NAmes       1960 162080.769231
       NAmes       1961 143290.000000
       NAmes       1962 152600.000000
       NAmes       1963 143100.000000
       NAmes       1964 163033.333333
       NAmes       1965 156100.000000
       NAmes       1966 176641.666667
       NAmes       1967 122333.333333
       NAmes       1968 165600.000000
       NAmes       1969 174175.000000
       NAmes       1970 176864.285714
       NAmes       1971 120331.250000
       NAmes       1972 213416.666667
       NAmes       1979 135960.000000
       NAmes       1998 181000.000000
     NPkVill       1974 147000.000000
     NPkVill       1976 143812.500000
     NPkVill       1977 140000.000000
     NPkVill       1978 148500.000000
      NWAmes       1963 143000.000000
      NWAmes       1967 179700.000000
      NWAmes       1968 195342.857143
      NWAmes       1969 140000.000000
      NWAmes       1970 179500.000000
      NWAmes       1971 170000.000000
      NWAmes       1972 170662.500000
      NWAmes       1973 166875.000000
      NWAmes       1974 189000.000000
      NWAmes       1975 166700.000000
      NWAmes       1976 194900.555556
      NWAmes       1977 194675.000000
      NWAmes       1978 191250.000000
      NWAmes       1979 189000.000000
      NWAmes       1980 197500.000000
      NWAmes       1981 212133.333333
      NWAmes       1984 190250.000000
      NWAmes       1986 215000.000000
      NWAmes       1988 222333.333333
      NWAmes       1998 213250.000000
      NWAmes       2001 227000.000000
     NoRidge       1990 302000.000000
     NoRidge       1991 260000.000000
     NoRidge       1992 296000.000000
     NoRidge       1993 260000.000000
     NoRidge       1994 295750.000000
     NoRidge       1995 393000.000000
     NoRidge       1996 371188.000000
     NoRidge       1998 287000.000000
     NoRidge       1999 320056.000000
     NoRidge       2000 249000.000000
     NoRidge       2001 466500.000000
     NridgHt       2003 267333.333333
     NridgHt       2004 301987.500000
     NridgHt       2005 277047.416667
     NridgHt       2006 307403.727273
     NridgHt       2007 314512.636364
     NridgHt       2008 466468.500000
     NridgHt       2009 313805.750000
     OldTown       1872 122000.000000
     OldTown       1880 228326.333333
     OldTown       1882 168000.000000
     OldTown       1885 111250.000000
     OldTown       1890 142200.000000
     OldTown       1892 291250.000000
     OldTown       1893 325000.000000
     OldTown       1898 106000.000000
     OldTown       1900 108178.571429
     OldTown       1904 157500.000000
     OldTown       1905 163000.000000
     OldTown       1910 110118.545455
     OldTown       1914 145500.000000
     OldTown       1915 132060.000000
     OldTown       1916 128250.000000
     OldTown       1917 129500.000000
     OldTown       1920 133155.555556
     OldTown       1923 112500.000000
     OldTown       1924 112000.000000
     OldTown       1925 125750.000000
     OldTown       1926 134450.000000
     OldTown       1928 161000.000000
     OldTown       1929 130000.000000
     OldTown       1930  94666.666667
     OldTown       1931 129900.000000
     OldTown       1936 170000.000000
     OldTown       1939 119900.000000
     OldTown       1941  90500.000000
     OldTown       1945  95250.000000
     OldTown       1947 110000.000000
     OldTown       1948 133500.000000
     OldTown       1952 124500.000000
     OldTown       1953  93000.000000
     OldTown       1954 113833.333333
     OldTown       1955 125587.500000
     OldTown       1957 131100.000000
     OldTown       1980 140000.000000
     OldTown       2003 200000.000000
       SWISU       1911 130000.000000
       SWISU       1912 127200.000000
       SWISU       1914 200000.000000
       SWISU       1915 128000.000000
       SWISU       1916 160000.000000
       SWISU       1919 169000.000000
       SWISU       1920 128500.000000
       SWISU       1921 189000.000000
       SWISU       1924 127000.000000
       SWISU       1925 138725.000000
       SWISU       1928 135000.000000
       SWISU       1930  91000.000000
       SWISU       1932 159434.000000
       SWISU       1936 135000.000000
       SWISU       1937 175000.000000
       SWISU       1939 179500.000000
       SWISU       1940 139500.000000
      Sawyer       1875  94000.000000
      Sawyer       1918 112000.000000
      Sawyer       1940 108000.000000
      Sawyer       1948 135000.000000
      Sawyer       1950 128000.000000
      Sawyer       1954 165000.000000
      Sawyer       1955 170000.000000
      Sawyer       1956 168000.000000
      Sawyer       1957 121500.000000
      Sawyer       1958 156250.000000
      Sawyer       1959  80000.000000
      Sawyer       1961 134500.000000
      Sawyer       1962 138280.000000
      Sawyer       1963 142700.000000
      Sawyer       1965 121376.600000
      Sawyer       1966 135550.000000
      Sawyer       1967 120416.666667
      Sawyer       1968 142750.000000
      Sawyer       1969 158000.000000
      Sawyer       1975 171000.000000
      Sawyer       1976 140250.000000
      Sawyer       1977 158666.666667
      Sawyer       1978 165700.000000
      Sawyer       1982 135950.000000
     SawyerW       1928  76000.000000
     SawyerW       1950  82000.000000
     SawyerW       1965 119900.000000
     SawyerW       1966 107000.000000
     SawyerW       1977 144000.000000
     SawyerW       1979 128688.500000
     SawyerW       1980 145500.000000
     SawyerW       1983 230300.000000
     SawyerW       1984 138500.000000
     SawyerW       1985 180000.000000
     SawyerW       1989 228500.000000
     SawyerW       1990 258520.000000
     SawyerW       1991 208600.000000
     SawyerW       1992 184100.000000
     SawyerW       1993 211800.000000
     SawyerW       1994 197250.000000
     SawyerW       1998 215000.000000
     SawyerW       2000 179000.000000
     SawyerW       2001 189000.000000
     SawyerW       2003 169950.000000
     SawyerW       2004 172800.000000
     SawyerW       2005 199750.000000
     Somerst       1999 199460.000000
     Somerst       2000 181625.000000
     Somerst       2001 226000.000000
     Somerst       2003 240166.666667
     Somerst       2004 226100.000000
     Somerst       2005 218875.200000
     Somerst       2006 222753.571429
     Somerst       2007 241000.833333
     Somerst       2008 267342.500000
     Somerst       2009 233353.333333
     StoneBr       1984 197500.000000
     StoneBr       1985 212000.000000
     StoneBr       1986 170000.000000
     StoneBr       1987 239000.000000
     StoneBr       1988 189000.000000
     StoneBr       1995 236500.000000
     StoneBr       2000 264500.000000
     StoneBr       2001 249750.000000
     StoneBr       2003 538000.000000
     StoneBr       2005 340475.333333
     StoneBr       2006 361919.000000
     StoneBr       2007 392000.000000
     StoneBr       2008 437168.500000
     StoneBr       2010 394432.000000
      Timber       1948 160000.000000
      Timber       1958 137500.000000
      Timber       1959 170000.000000
      Timber       1963 186700.000000
      Timber       1965 301975.000000
      Timber       1981 228000.000000
      Timber       1986 184000.000000
      Timber       1988 175000.000000
      Timber       1989 335000.000000
      Timber       1990 215000.000000
      Timber       1996 204000.000000
      Timber       2001 220000.000000
      Timber       2002 250075.000000
      Timber       2003 187500.000000
      Timber       2005 281213.000000
      Timber       2006 249325.000000
      Timber       2007 239000.000000
      Timber       2008 378500.000000
      Timber       2009 247000.000000
     Veenker       1974 294000.000000
     Veenker       1976 195500.000000
     Veenker       1981 385000.000000
     Veenker       1984 162500.000000
     Veenker       1993 324000.000000
     Veenker       1995 270000.000000
     Veenker       1996 245500.000000
