TotRmsAbvGrd,TotRmsAbvGrd^2,SalePrice
10.0,100.0,333168
7.0,49.0,146500
10.0,100.0,354000
5.0,25.0,143000
6.0,36.0,265900
6.0,36.0,146000
7.0,49.0,165000
6.0,36.0,82000
7.0,49.0,213250
6.0,36.0,79000
5.0,25.0,143000
6.0,36.0,130500
8.0,64.0,239900
7.0,49.0,177500
10.0,100.0,262280
7.0,49.0,227000
6.0,36.0,159500
6.0,36.0,217000
9.0,81.0,410000
5.0,25.0,148000
6.0,36.0,178000
8.0,64.0,162900
6.0,36.0,187500
7.0,49.0,160000
7.0,49.0,212000
6.0,36.0,139000
5.0,25.0,108000
5.0,25.0,84000
7.0,49.0,172000
7.0,49.0,104900
7.0,49.0,114504
5.0,25.0,106000
6.0,36.0,179900
6.0,36.0,102000
6.0,36.0,190000
7.0,49.0,340000
7.0,49.0,180000
6.0,36.0,206000
7.0,49.0,131500
8.0,64.0,150000
6.0,36.0,186000
5.0,25.0,116900
11.0,121.0,299800
8.0,64.0,188000
6.0,36.0,143000
5.0,25.0,138500
9.0,81.0,260000
5.0,25.0,119000
8.0,64.0,167500
4.0,16.0,85500
6.0,36.0,209500
9.0,81.0,206900
7.0,49.0,112000
8.0,64.0,193000
5.0,25.0,197500
6.0,36.0,139000
5.0,25.0,119750
7.0,49.0,198500
6.0,36.0,135000
6.0,36.0,223500
7.0,49.0,307000
5.0,25.0,132000
6.0,36.0,168000
7.0,49.0,287000
6.0,36.0,197000
6.0,36.0,134450
6.0,36.0,133700
7.0,49.0,306000
7.0,49.0,180000
7.0,49.0,232600
7.0,49.0,175900
6.0,36.0,178000
6.0,36.0,227000
8.0,64.0,165150
6.0,36.0,223500
7.0,49.0,207500
7.0,49.0,256300
8.0,64.0,377426
6.0,36.0,224500
7.0,49.0,249700
6.0,36.0,100000
10.0,100.0,437154
7.0,49.0,180500
4.0,16.0,121000
5.0,25.0,156000
4.0,16.0,180000
5.0,25.0,107000
7.0,49.0,377500
7.0,49.0,185000
6.0,36.0,175000
7.0,49.0,195000
6.0,36.0,319900
12.0,144.0,190000
11.0,121.0,184750
5.0,25.0,109500
5.0,25.0,129000
6.0,36.0,148000
6.0,36.0,158900
2.0,4.0,39300
4.0,16.0,151000
6.0,36.0,178740
8.0,64.0,124000
7.0,49.0,230000
5.0,25.0,145000
6.0,36.0,125500
5.0,25.0,158000
5.0,25.0,163500
7.0,49.0,129000
6.0,36.0,194500
5.0,25.0,127000
7.0,49.0,228500
7.0,49.0,280000
9.0,81.0,234000
7.0,49.0,175000
5.0,25.0,193000
7.0,49.0,120000
8.0,64.0,395192
7.0,49.0,136900
5.0,25.0,144000
6.0,36.0,175500
5.0,25.0,110000
9.0,81.0,255900
5.0,25.0,110000
9.0,81.0,229000
7.0,49.0,124900
7.0,49.0,164000
7.0,49.0,257000
7.0,49.0,239000
6.0,36.0,200000
9.0,81.0,171000
10.0,100.0,285000
8.0,64.0,193500
4.0,16.0,144152
9.0,81.0,250000
8.0,64.0,248000
5.0,25.0,302000
8.0,64.0,326000
6.0,36.0,127500
8.0,64.0,180000
6.0,36.0,89500
6.0,36.0,190000
5.0,25.0,189000
7.0,49.0,192000
6.0,36.0,94750
8.0,64.0,320000
6.0,36.0,128000
6.0,36.0,135000
8.0,64.0,118964
3.0,9.0,81000
6.0,36.0,88000
6.0,36.0,325000
6.0,36.0,139950
7.0,49.0,147000
6.0,36.0,205000
7.0,49.0,127000
5.0,25.0,174000
6.0,36.0,191000
5.0,25.0,89500
4.0,16.0,113000
8.0,64.0,179500
8.0,64.0,305900
5.0,25.0,155000
5.0,25.0,93000
7.0,49.0,257500
7.0,49.0,277000
7.0,49.0,328000
9.0,81.0,165000
4.0,16.0,129500
7.0,49.0,204750
11.0,121.0,191000
6.0,36.0,165500
7.0,49.0,173000
7.0,49.0,119500
7.0,49.0,127500
8.0,64.0,159500
7.0,49.0,153900
5.0,25.0,129900
6.0,36.0,152000
6.0,36.0,185000
6.0,36.0,127000
7.0,49.0,168500
8.0,64.0,269790
6.0,36.0,245000
6.0,36.0,256000
6.0,36.0,135000
8.0,64.0,87000
7.0,49.0,239799
6.0,36.0,176485
6.0,36.0,116000
7.0,49.0,370878
6.0,36.0,176000
6.0,36.0,152000
6.0,36.0,149900
7.0,49.0,168000
4.0,16.0,260000
8.0,64.0,214000
7.0,49.0,137500
7.0,49.0,169500
5.0,25.0,118500
10.0,100.0,151400
6.0,36.0,173900
8.0,64.0,268000
6.0,36.0,202500
5.0,25.0,185000
8.0,64.0,214900
7.0,49.0,318000
4.0,16.0,97000
7.0,49.0,130000
7.0,49.0,104900
5.0,25.0,123000
11.0,121.0,320000
7.0,49.0,127000
6.0,36.0,76500
5.0,25.0,133000
5.0,25.0,118000
6.0,36.0,120000
8.0,64.0,179540
8.0,64.0,230000
4.0,16.0,140000
9.0,81.0,426000
5.0,25.0,117000
7.0,49.0,235000
7.0,49.0,108000
12.0,144.0,160000
6.0,36.0,144000
8.0,64.0,263435
7.0,49.0,135000
9.0,81.0,262500
10.0,100.0,125000
7.0,49.0,226700
6.0,36.0,135000
7.0,49.0,190000
8.0,64.0,122000
6.0,36.0,187500
6.0,36.0,272000
8.0,64.0,172500
6.0,36.0,125500
6.0,36.0,123500
6.0,36.0,193879
6.0,36.0,87000
7.0,49.0,184100
7.0,49.0,182900
6.0,36.0,84500
7.0,49.0,200000
6.0,36.0,183000
7.0,49.0,193500
6.0,36.0,131000
6.0,36.0,134000
4.0,16.0,165500
5.0,25.0,125000
6.0,36.0,78000
7.0,49.0,179600
5.0,25.0,130000
9.0,81.0,252000
7.0,49.0,231500
5.0,25.0,80000
4.0,16.0,125000
6.0,36.0,219500
7.0,49.0,178000
6.0,36.0,166000
6.0,36.0,176000
9.0,81.0,274725
6.0,36.0,167900
4.0,16.0,160000
10.0,100.0,136000
10.0,100.0,555000
6.0,36.0,128000
10.0,100.0,625000
9.0,81.0,290000
4.0,16.0,82000
5.0,25.0,125000
6.0,36.0,186500
5.0,25.0,111000
7.0,49.0,252678
5.0,25.0,110000
6.0,36.0,141000
7.0,49.0,116000
7.0,49.0,167900
8.0,64.0,236000
6.0,36.0,103600
7.0,49.0,163900
5.0,25.0,113000
6.0,36.0,250580
6.0,36.0,220000
5.0,25.0,126000
7.0,49.0,139500
9.0,81.0,280000
6.0,36.0,159895
4.0,16.0,208300
4.0,16.0,124000
6.0,36.0,147000
5.0,25.0,117000
6.0,36.0,157500
8.0,64.0,81000
8.0,64.0,208500
5.0,25.0,156000
7.0,49.0,185000
7.0,49.0,167500
5.0,25.0,132500
6.0,36.0,169900
7.0,49.0,196500
7.0,49.0,93000
5.0,25.0,177000
6.0,36.0,167500
8.0,64.0,174000
5.0,25.0,239000
5.0,25.0,110000
5.0,25.0,84500
9.0,81.0,242000
5.0,25.0,175000
6.0,36.0,174000
6.0,36.0,129000
4.0,16.0,109900
6.0,36.0,90000
9.0,81.0,200100
11.0,121.0,303477
6.0,36.0,149900
7.0,49.0,139000
9.0,81.0,228000
5.0,25.0,235000
7.0,49.0,225000
12.0,144.0,582933
7.0,49.0,244000
5.0,25.0,157000
5.0,25.0,110000
6.0,36.0,324000
5.0,25.0,271000
6.0,36.0,160000
5.0,25.0,120000
6.0,36.0,37900
7.0,49.0,237000
6.0,36.0,190000
4.0,16.0,34900
8.0,64.0,315000
8.0,64.0,202500
8.0,64.0,215000
5.0,25.0,152000
6.0,36.0,207500
7.0,49.0,158000
7.0,49.0,130000
8.0,64.0,244000
6.0,36.0,79000
5.0,25.0,55000
6.0,36.0,228000
8.0,64.0,325624
7.0,49.0,191000
6.0,36.0,163000
7.0,49.0,211000
5.0,25.0,392500
7.0,49.0,143000
6.0,36.0,88000
5.0,25.0,133000
6.0,36.0,144900
7.0,49.0,91500
4.0,16.0,137000
7.0,49.0,96500
6.0,36.0,149000
6.0,36.0,174900
8.0,64.0,216500
8.0,64.0,222500
6.0,36.0,161750
7.0,49.0,220000
7.0,49.0,150750
6.0,36.0,128000
6.0,36.0,179900
9.0,81.0,302000
12.0,144.0,475000
5.0,25.0,170000
9.0,81.0,335000
7.0,49.0,115000
5.0,25.0,109000
5.0,25.0,316600
9.0,81.0,270000
6.0,36.0,142000
6.0,36.0,282922
5.0,25.0,164000
7.0,49.0,250000
6.0,36.0,122900
6.0,36.0,154000
7.0,49.0,155000
3.0,9.0,60000
4.0,16.0,80000
5.0,25.0,100000
6.0,36.0,132500
6.0,36.0,159000
10.0,100.0,124500
3.0,9.0,131500
6.0,36.0,180000
5.0,25.0,76000
6.0,36.0,108000
5.0,25.0,157000
9.0,81.0,225000
8.0,64.0,188000
4.0,16.0,73000
5.0,25.0,91000
4.0,16.0,173733
5.0,25.0,94500
8.0,64.0,210000
6.0,36.0,129000
6.0,36.0,148000
8.0,64.0,211000
6.0,36.0,159000
7.0,49.0,197900
7.0,49.0,118000
4.0,16.0,82000
5.0,25.0,170000
6.0,36.0,136500
7.0,49.0,319000
6.0,36.0,101000
5.0,25.0,147000
9.0,81.0,290000
5.0,25.0,119500
5.0,25.0,116000
6.0,36.0,92900
6.0,36.0,105000
8.0,64.0,415298
8.0,64.0,215000
5.0,25.0,141500
7.0,49.0,132000
5.0,25.0,108500
6.0,36.0,145000
6.0,36.0,163000
6.0,36.0,140000
5.0,25.0,110000
6.0,36.0,132500
8.0,64.0,295493
4.0,16.0,199900
5.0,25.0,129500
7.0,49.0,224000
7.0,49.0,392000
5.0,25.0,179000
7.0,49.0,184000
6.0,36.0,176500
7.0,49.0,98000
7.0,49.0,169000
4.0,16.0,100000
7.0,49.0,148500
5.0,25.0,127500
5.0,25.0,120500
9.0,81.0,110000
6.0,36.0,142000
4.0,16.0,61000
7.0,49.0,222000
8.0,64.0,107400
7.0,49.0,193000
9.0,81.0,197500
7.0,49.0,113000
7.0,49.0,385000
7.0,49.0,148500
6.0,36.0,147500
7.0,49.0,183200
9.0,81.0,259500
10.0,100.0,239000
6.0,36.0,141000
6.0,36.0,140000
9.0,81.0,145900
6.0,36.0,221000
6.0,36.0,112000
5.0,25.0,123600
10.0,100.0,240000
4.0,16.0,117000
9.0,81.0,281213
8.0,64.0,275500
5.0,25.0,130000
11.0,121.0,345000
6.0,36.0,123000
5.0,25.0,179200
3.0,9.0,141000
7.0,49.0,144000
6.0,36.0,127000
6.0,36.0,194700
7.0,49.0,215000
9.0,81.0,320000
8.0,64.0,140000
6.0,36.0,125000
8.0,64.0,220000
7.0,49.0,228950
8.0,64.0,165500
3.0,9.0,80000
9.0,81.0,402861
6.0,36.0,227000
8.0,64.0,216837
11.0,121.0,107500
5.0,25.0,100000
5.0,25.0,194000
6.0,36.0,150000
7.0,49.0,230000
6.0,36.0,173000
7.0,49.0,287090
9.0,81.0,202900
7.0,49.0,79900
7.0,49.0,440000
8.0,64.0,107000
5.0,25.0,143500
5.0,25.0,171900
8.0,64.0,100000
7.0,49.0,179900
9.0,81.0,133900
7.0,49.0,240000
4.0,16.0,89000
6.0,36.0,136500
4.0,16.0,235000
5.0,25.0,138000
5.0,25.0,142125
9.0,81.0,187500
7.0,49.0,181900
8.0,64.0,140000
6.0,36.0,145000
7.0,49.0,175000
7.0,49.0,234000
5.0,25.0,109900
5.0,25.0,129900
6.0,36.0,139400
8.0,64.0,290000
5.0,25.0,160200
6.0,36.0,139000
7.0,49.0,132000
6.0,36.0,166000
8.0,64.0,163990
5.0,25.0,145500
14.0,196.0,200000
7.0,49.0,162000
4.0,16.0,120500
6.0,36.0,88000
5.0,25.0,79900
7.0,49.0,225000
6.0,36.0,248900
6.0,36.0,239686
7.0,49.0,190000
8.0,64.0,168000
5.0,25.0,132250
5.0,25.0,114500
9.0,81.0,250000
8.0,64.0,136905
11.0,121.0,381000
6.0,36.0,130000
8.0,64.0,189000
7.0,49.0,125000
6.0,36.0,172500
7.0,49.0,232000
6.0,36.0,138800
5.0,25.0,100000
7.0,49.0,130000
10.0,100.0,295000
8.0,64.0,164000
8.0,64.0,375000
7.0,49.0,115000
5.0,25.0,139000
6.0,36.0,177000
4.0,16.0,139000
5.0,25.0,222000
6.0,36.0,167000
7.0,49.0,318000
4.0,16.0,212000
6.0,36.0,173000
7.0,49.0,135000
7.0,49.0,241000
6.0,36.0,202665
9.0,81.0,342643
6.0,36.0,139000
7.0,49.0,221000
9.0,81.0,309000
8.0,64.0,180000
6.0,36.0,189000
6.0,36.0,179200
8.0,64.0,177000
7.0,49.0,201000
5.0,25.0,111250
6.0,36.0,179400
10.0,100.0,90000
6.0,36.0,241500
7.0,49.0,259000
9.0,81.0,128000
3.0,9.0,86000
7.0,49.0,125000
11.0,121.0,272000
7.0,49.0,158000
5.0,25.0,160000
6.0,36.0,207500
4.0,16.0,135960
7.0,49.0,137450
6.0,36.0,90000
5.0,25.0,87000
9.0,81.0,176000
6.0,36.0,178400
5.0,25.0,143750
10.0,100.0,315000
6.0,36.0,144000
7.0,49.0,187000
7.0,49.0,142000
3.0,9.0,80500
6.0,36.0,152000
5.0,25.0,177000
9.0,81.0,267000
10.0,100.0,430000
5.0,25.0,190000
7.0,49.0,143000
6.0,36.0,153500
7.0,49.0,265000
4.0,16.0,135000
7.0,49.0,208900
8.0,64.0,269500
5.0,25.0,149000
7.0,49.0,91500
6.0,36.0,210000
6.0,36.0,97500
5.0,25.0,165000
6.0,36.0,213490
7.0,49.0,137900
6.0,36.0,155000
8.0,64.0,466500
6.0,36.0,244600
4.0,16.0,110000
6.0,36.0,112000
5.0,25.0,134800
4.0,16.0,119000
7.0,49.0,223000
7.0,49.0,192500
5.0,25.0,153000
9.0,81.0,98000
8.0,64.0,139600
7.0,49.0,187000
7.0,49.0,178000
5.0,25.0,160000
4.0,16.0,148800
9.0,81.0,177000
7.0,49.0,264561
5.0,25.0,128900
7.0,49.0,235128
6.0,36.0,229456
8.0,64.0,256000
8.0,64.0,200000
6.0,36.0,162500
5.0,25.0,124000
7.0,49.0,95000
4.0,16.0,93000
8.0,64.0,195000
10.0,100.0,350000
8.0,64.0,145000
8.0,64.0,190000
8.0,64.0,200000
6.0,36.0,124500
5.0,25.0,102000
6.0,36.0,171750
6.0,36.0,198900
5.0,25.0,130000
5.0,25.0,58500
5.0,25.0,80000
5.0,25.0,385000
6.0,36.0,372402
10.0,100.0,258000
11.0,121.0,122500
6.0,36.0,141000
7.0,49.0,237500
5.0,25.0,112000
8.0,64.0,129900
5.0,25.0,119200
6.0,36.0,147000
6.0,36.0,213500
7.0,49.0,204000
7.0,49.0,158000
6.0,36.0,106500
5.0,25.0,83000
5.0,25.0,157000
6.0,36.0,117000
4.0,16.0,168500
6.0,36.0,140200
9.0,81.0,294000
6.0,36.0,151000
5.0,25.0,122000
5.0,25.0,148000
6.0,36.0,274000
6.0,36.0,157900
9.0,81.0,250000
4.0,16.0,140000
7.0,49.0,236500
10.0,100.0,160000
4.0,16.0,72500
6.0,36.0,163000
5.0,25.0,105000
4.0,16.0,108000
4.0,16.0,127500
6.0,36.0,105000
7.0,49.0,167000
6.0,36.0,188700
6.0,36.0,173000
7.0,49.0,174500
8.0,64.0,184000
10.0,100.0,359100
6.0,36.0,204000
6.0,36.0,162000
8.0,64.0,336000
8.0,64.0,235000
10.0,100.0,118500
8.0,64.0,192000
9.0,81.0,235000
8.0,64.0,176500
4.0,16.0,245500
5.0,25.0,136000
7.0,49.0,200000
6.0,36.0,112000
4.0,16.0,128000
9.0,81.0,137000
12.0,144.0,250000
8.0,64.0,274300
5.0,25.0,120500
9.0,81.0,240000
5.0,25.0,278000
6.0,36.0,170000
5.0,25.0,167240
7.0,49.0,226000
6.0,36.0,181500
10.0,100.0,383970
5.0,25.0,138500
7.0,49.0,163000
6.0,36.0,119900
8.0,64.0,139000
7.0,49.0,275000
8.0,64.0,118000
6.0,36.0,119000
7.0,49.0,301500
6.0,36.0,137500
8.0,64.0,186500
4.0,16.0,99900
6.0,36.0,155000
8.0,64.0,270000
7.0,49.0,155000
6.0,36.0,109900
5.0,25.0,150500
5.0,25.0,99500
7.0,49.0,153000
6.0,36.0,82500
8.0,64.0,129500
8.0,64.0,274970
7.0,49.0,165400
5.0,25.0,215000
7.0,49.0,171000
5.0,25.0,143250
7.0,49.0,165000
6.0,36.0,141000
6.0,36.0,159434
6.0,36.0,164500
7.0,49.0,280000
9.0,81.0,122000
5.0,25.0,120000
8.0,64.0,315750
7.0,49.0,220000
8.0,64.0,315000
7.0,49.0,158000
7.0,49.0,260400
8.0,64.0,171000
6.0,36.0,132500
6.0,36.0,185000
5.0,25.0,176000
8.0,64.0,185000
5.0,25.0,181000
6.0,36.0,179000
6.0,36.0,132500
7.0,49.0,172500
6.0,36.0,97000
8.0,64.0,143900
5.0,25.0,106500
7.0,49.0,194500
5.0,25.0,109500
8.0,64.0,169500
7.0,49.0,196500
6.0,36.0,155000
7.0,49.0,248328
6.0,36.0,105000
9.0,81.0,345000
7.0,49.0,261500
4.0,16.0,116500
5.0,25.0,120500
7.0,49.0,285000
5.0,25.0,83000
5.0,25.0,118000
6.0,36.0,115000
6.0,36.0,140000
8.0,64.0,154000
6.0,36.0,185850
8.0,64.0,222000
4.0,16.0,135000
5.0,25.0,140000
7.0,49.0,180000
6.0,36.0,200141
6.0,36.0,160000
4.0,16.0,187500
6.0,36.0,148000
8.0,64.0,394432
5.0,25.0,122000
7.0,49.0,126000
7.0,49.0,215000
4.0,16.0,138000
5.0,25.0,129000
6.0,36.0,83500
5.0,25.0,155000
6.0,36.0,230000
7.0,49.0,106250
8.0,64.0,219500
5.0,25.0,157000
8.0,64.0,250000
6.0,36.0,154000
8.0,64.0,172785
7.0,49.0,179000
8.0,64.0,135000
8.0,64.0,337000
8.0,64.0,210000
5.0,25.0,146800
7.0,49.0,170000
6.0,36.0,148000
7.0,49.0,214000
5.0,25.0,128500
6.0,36.0,142500
6.0,36.0,203000
10.0,100.0,137000
6.0,36.0,175500
9.0,81.0,266500
6.0,36.0,224900
6.0,36.0,148000
5.0,25.0,121600
6.0,36.0,171500
10.0,100.0,412500
5.0,25.0,103000
6.0,36.0,164990
10.0,100.0,361919
4.0,16.0,140000
6.0,36.0,128000
6.0,36.0,194000
5.0,25.0,112500
6.0,36.0,106000
5.0,25.0,180500
6.0,36.0,277500
5.0,25.0,162000
7.0,49.0,161000
3.0,9.0,149300
6.0,36.0,235000
6.0,36.0,98600
6.0,36.0,156932
12.0,144.0,142953
9.0,81.0,268000
8.0,64.0,232000
7.0,49.0,221500
4.0,16.0,110500
7.0,49.0,279500
6.0,36.0,188500
8.0,64.0,275000
6.0,36.0,125000
5.0,25.0,140000
7.0,49.0,190000
7.0,49.0,140000
9.0,81.0,325300
7.0,49.0,98300
8.0,64.0,201800
4.0,16.0,151000
10.0,100.0,378500
6.0,36.0,108000
3.0,9.0,136500
7.0,49.0,227875
6.0,36.0,132000
5.0,25.0,286000
6.0,36.0,165000
5.0,25.0,196000
6.0,36.0,164900
6.0,36.0,192000
6.0,36.0,251000
5.0,25.0,147000
8.0,64.0,265979
6.0,36.0,173000
6.0,36.0,139400
4.0,16.0,52500
5.0,25.0,110000
5.0,25.0,186700
7.0,49.0,201000
8.0,64.0,145000
5.0,25.0,125000
6.0,36.0,192000
6.0,36.0,227680
7.0,49.0,394617
6.0,36.0,266000
12.0,144.0,538000
3.0,9.0,100000
8.0,64.0,226000
7.0,49.0,200500
4.0,16.0,118000
7.0,49.0,160000
4.0,16.0,164500
10.0,100.0,119000
6.0,36.0,142500
5.0,25.0,167000
4.0,16.0,100000
9.0,81.0,278000
6.0,36.0,176432
7.0,49.0,135000
5.0,25.0,115000
7.0,49.0,189950
7.0,49.0,174000
